ID,URL,LABEL,TEXT
1,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,सामग्री,"साइडबार पर जाएँ
छुपाएँ"
2,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,परिचय[संपादित करें],"सामान्यतः पर्यावरण को मनुष्य के संदर्भ में परिभाषित किया जाता है और मनुष्य को एक अलग इकाई और उसके चारों ओर व्याप्त अन्य समस्त चीजों को उसका पर्यावरण घोषित कर दिया जाता है। किन्तु यहाँ यह भी ध्यातव्य है कि अभी भी इस धरती पर बहुत सी मानव सभ्यताएँ हैं, जो अपने को पर्यावरण से अलग नहीं मानतीं और उनकी नज़र में समस्त प्रकृति एक ही इकाई है।जिसका मनुष्य भी एक हिस्सा है।[1] वस्तुतः मनुष्य को पर्यावरण से अलग मानने वाले वे हैं जो तकनीकी रूप से विकसित हैं और विज्ञान और तकनीक के व्यापक प्रयोग से अपनी प्राकृतिक दशाओं में काफ़ी बदलाव लाने में समर्थ हैं।
मानव हस्तक्षेप के आधार पर पर्यावरण को दो प्रखण्डों में विभाजित किया जाता है - प्राकृतिक या नैसर्गिक पर्यावरण और मानव निर्मित पर्यावरण।[2] हालाँकि पूर्ण रूप से प्राकृतिक पर्यावरण (जिसमें मानव हस्तक्षेप बिल्कुल न हुआ हो) या पूर्ण रूपेण मानव निर्मित पर्यावरण (जिसमें सब कुछ मनुष्य निर्मित हो), कहीं नहीं पाए जाते। यह विभाजन प्राकृतिक प्रक्रियाओं और दशाओं में मानव हस्तक्षेप की मात्रा की अधिकता और न्यूनता का द्योतक मात्र है। पारिस्थितिकी और पर्यावरण भूगोल में प्राकृतिक पर्यावरण शब्द का प्रयोग पर्यावास (habitat) के लिये भी होता है।
तकनीकी मानव द्वारा आर्थिक उद्देश्य और जीवन में विलासिता के लक्ष्यों की प्राप्ति हेतु प्रकृति के साथ व्यापक छेड़छाड़ के क्रियाकलापों ने प्राकृतिक पर्यावरण का संतुलन नष्ट किया है, जिससे प्राकृतिक व्यवस्था या प्रणाली के अस्तित्व पर ही संकट उत्पन्न हो गया है। इस तरह की समस्याएँ पर्यावरणीय अवनयन कहलाती हैं।
पर्यावरणीय समस्याएँ जैसे प्रदूषण, जलवायु परिवर्तन इत्यादि मनुष्य को अपनी जीवनशैली के बारे में पुनर्विचार के लिये प्रेरित कर रही हैं और अब पर्यावरण संरक्षण और पर्यावरण प्रबंधन की चर्चा है।[3] मनुष्य वैज्ञानिक और तकनीकी रूप से अपने द्वारा किये गये परिवर्तनों से नुकसान को कितना कम करने में सक्षम है, आर्थिक और राजनैतिक हितों की टकराव में पर्यावरण पर कितना ध्यान दिया जा रहा है और मनुष्यता अपने पर्यावरण के प्रति कितनी जागरूक है, यह आज के ज्वलंत प्रश्न हैं।[4]
[5]
पृथ्वी पर पाए जाने वाले भूमि, जल, वायु, पेड़ पौधे एवं जीव  जन्तुओ का समूह जो हमारे चारो और है। पर्यावरण  के ये जैविक और अजैविक घटक आपस में अन्तक्रिया करते है। यह सम्पूर्ण प्रक्रिया एक तंत्र में स्थापित होती हे.जिसे हम पारिस्थितिकी तंत्र के रूप में जानते हे।"
3,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,नामोत्पत्ति[संपादित करें],"पर्यावरण शब्द संस्कृत भाषा के 'परि' उपसर्ग (चारों ओर) और 'आवरण' से मिलकर बना है जिसका अर्थ है ऐसी चीजों का समुच्चय जो किसी व्यक्ति या जीवधारी को चारों ओर से आवृत्त किये हुए हैं। पारिस्थितिकी और भूगोल में यह शब्द अंग्रेजी के environment के पर्याय के रूप में इस्तेमाल होता है।
अंग्रेजी शब्द environment स्वयं उपरोक्त पारिस्थितिकी के अर्थ में काफ़ी बाद में प्रयुक्त हुआ और यह शुरूआती दौर में आसपास की सामान्य दशाओं के लिये प्रयुक्त होता था। यह फ़्रांसीसी भाषा से उद्भूत है[6] जहाँ यह ""state of being environed"" (see environ + -ment) के अर्थ में प्रयुक्त होता था और इसका पहला ज्ञात प्रयोग कार्लाइल द्वारा जर्मन शब्द Umgebung के अर्थ को फ्रांसीसी में व्यक्त करने के लिये हुआ।[7]"
4,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,ANANT KHOLI[संपादित करें],"आज पर्यावरण एक जरूरी सवाल ही नहीं बल्कि ज्वलंत मुद्दा बना हुआ है लेकिन आज लोगों में इसे लेकर जागरूकत है। ग्रामीण समाज को छोड़ दें तो भी महानगरीय जीवन में इसके प्रति खास उत्सुकता नहीं पाई जाती। परिणामस्वरूप पर्यावरण सुरक्षा महज एक सरकारी एजेण्डा ही बन कर रह गया है। जबकि यह पूरे समाज से बहुत ही घनिष्ठ सम्बन्ध रखने वाला सवाल है। जब तक इसके प्रति लोगों में एक स्वाभाविक लगाव पैदा नहीं होता, पर्यावरण संरक्षण एक दूर का सपना ही बना रहेगा।
पर्यावरण का सीधा सम्बन्ध प्रकृति से है। अपने परिवेश में हम तरह-तरह के जीव-जन्तु, पेड़-पौधे तथा अन्य सजीव-निर्जीव वस्तुएँ पाते हैं। ये सब मिलकर पर्यावरण की रचना करते हैं। विज्ञान की विभिन्न शाखाओं जैसे-भौतिक विज्ञान, रसायन विज्ञान तथा जीव विज्ञान, आदि में विषय के मौलिक सिद्धान्तों तथा उनसे सम्बन्ध प्रायोगिक विषयों का अध्ययन किया जाता है। परन्तु आज की आवश्यकता यह है कि पर्यावरण के विस्तृत अध्ययन के साथ-साथ इससे सम्बन्धित व्यावहारिक ज्ञान पर बल दिया जाए। आधुनिक समाज को पर्यावरण से सम्बन्धित समस्याओं की शिक्षा व्यापक स्तर पर दी जानी चाहिए। साथ ही इससे निपटने के बचावकारी उपायों की जानकारी भी आवश्यक है। आज के मशीनी युग में हम ऐसी स्थिति से गुजर रहे हैं। प्रदूषण एक अभिशाप के रूप में सम्पूर्ण पर्यावरण को नष्ट करने के लिए हमारे सामने खड़ा है। सम्पूर्ण विश्व एक गम्भीर चुनौती के दौर से गुजर रहा है। यद्यपि हमारे पास पर्यावरण सम्बन्धी पाठ्य-सामग्री की कमी है तथापि सन्दर्भ सामग्री की कमी नहीं है। वास्तव में आज पर्यावरण से सम्बद्ध उपलब्ध ज्ञान को व्यावहारिक बनाने की आवश्यकता है ताकि समस्या को जनमानस सहज रूप से समझ सके। ऐसी विषम परिस्थिति में समाज को उसके कर्त्तव्य तथा दायित्व का एहसास होना आवश्यक है। इस प्रकार समाज में पर्यावरण के प्रति जागरूकता पैदा की जा सकती है। वास्तव में सजीव तथा निर्जीव दो संघटक मिलकर प्रकृति का निर्माण करते हैं। वायु, जल तथा भूमि निर्जीव घटकों में आते हैं जबकि जन्तु-जगत तथा पादप-जगत से मिलकर सजीवों का निर्माण होता है। इन संघटकों के मध्य एक महत्वपूर्ण रिश्ता यह है कि अपने जीवन-निर्वाह के लिए परस्पर निर्भर रहते हैं। जीव-जगत में यद्यपि मानव सबसे अधिक सचेतन एवं संवेदनशील प्राणी है तथापि अपनी आवश्यकताओं की पूर्ति हेतु वह अन्य जीव-जन्तुओं, पादप, वायु, जल तथा भूमि पर निर्भर रहता है। मानव के परिवेश में पाए जाने वाले जीव-जन्तु पादप, वायु, जल तथा भूमि पर्यावरण की संरचना करते है।
शिक्षा के माध्यम से पर्यावरण का ज्ञान
शिक्षा मानव-जीवन के बहुमुखी विकास का एक प्रबल साधन है। इसका मुख्य उद्देश्य व्यक्ति के अन्दर शारीरिक, मानसिक, सामाजिक, संस्कृतिक तथा आध्यात्मिक बुद्धी एवं परिपक्वता लाना है। शिक्षा के उद्देश्यों की पूर्ति हेतु प्राकृतिक वातावरण का ज्ञान अति आवश्यक है। प्राकृतिक वातावरण के बारे में ज्ञानार्जन की परम्परा भारतीय संस्कृति में आरम्भ से ही रही है। परन्तु आज के भौतिकवादी युग में परिस्थितियाँ भिन्न होती जा रही हैं। एक ओर जहां विज्ञान एवं तकनीकी के विभिन्न क्षेत्रों में नए-नए अविष्कार हो रहे हैं। तो दूसरी ओर मानव परिवेश भी उसी गति से प्रभावित हो रहा है। आने वाली पीढ़ी को पर्यावरण में हो रहे परिवर्तनों का ज्ञान शिक्षा के माध्यम से होना आवश्यक है। पर्यावरण तथा शिक्षा के अन्तर्सम्बन्धों का ज्ञान हासिल करके कोई भी व्यक्ति इस दिशा में अनेक महत्वपूर्ण कार्य कर सकता है। पर्यावरण का विज्ञान से गहरा सम्बन्ध है, किन्तु उसकी शिक्षा में किसी प्रकार की वैज्ञानिक पेचीदगियाँ नहीं हैं। शिक्षार्थियों को प्रकृति तथा पारिस्थितिक ज्ञान सीधी तथा सरल भाषा में समझायी जानी चाहिए। शुरू-शुरू में यह ज्ञान सतही तौर पर मात्र परिचयात्मक ढंग से होना चाहिए। आगे चलकर इसके तकनीकी पहलुओं पर विचार किया जाना चाहिए। शिक्षा के क्षेत्र में पर्यावरण का ज्ञान मानवीय सुरक्षा के लिए आवश्यक है।
लोग अपने आस पास के आवरण को नष्ट करने का हर संभव प्रयास में लगे हुए है पर्यावरण की सुरक्षा तो सिर्फ दिमाग मे ही है। नगरीकरण तथा औद्योगीकरण के कारण पर्यावरण का अधिक से अधिक दोहन हो रहा है और इसका सीधा परिणाम यही निकल कर आ रहा है कि पर्यावरण का संतुलन विगड़ता जा रहा है जिससे कहीं सूखा कही अतिवृष्टि जैसी समस्याएं उत्पन्न होती जा रही है। जो जमीन कल तक उपजाऊ थी आज देखा जाए तो उसमें अच्छी फसल नही होती और ऐसा प्रतीत होता है कि आने वाले समय मे यह बंजर हो जाएगी। हमे प कही जाने वाली हमारी पृथ्वी एक दिन बन्जर होकर रह जायेगी और इससे जीवन समाप्त हो जाएगा और यह फिर से वही आकाश पिण्ड का गोला बनकर रह जायेगी।"
5,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,पर्यावरण और पारितंत्र[संपादित करें],"पर्यावरण अपनी सम्पूर्णता में एक इकाई है जिसमें अजैविक और जैविक संघटक आपस में विभिन्न अन्तर्क्रियाओं द्वारा संबद्ध और अंतर्गुम्फित होते हैं। इसकी यह विशेषता इसे एक पारितंत्र का रूप प्रदान करती है क्योंकि पारिस्थितिक तंत्र या पारितंत्र पृथ्वी के किसी क्षेत्र में समस्त जैविक और अजैविक तत्वों के अंतर्सम्बंधित समुच्चय को कहते हैं। अतः पर्यावरण भी एक पारितंत्र है।[8]
पृथ्वी पर पैमाने (scale) के हिसाब से सबसे वृहत्तम पारितंत्र जैवमंडल को माना जाता है। जैवमंडल पृथ्वी का वह भाग है जिसमें जीवधारी पाए जाते हैं और यह स्थलमंडल, जलमण्डल तथा वायुमण्डल में व्याप्त है। पूरे पार्थिव पर्यावरण की रचना भी इन्हीं इकाइयों से हुई है, अतः इन अर्थों में वैश्विक पर्यावरण, जैवमण्डल और पार्थिव पारितंत्र एक दूसरे के समानार्थी हो जाते हैं।
माना जाता है कि पृथ्वी के वायुमण्डल का वर्तमान संघटन और इसमें ऑक्सीजन की वर्तमान मात्रा पृथ्वी पर जीवन होने का कारण ही नहीं अपितु परिणाम भी है। प्रकाश-संश्लेषण, जो एक जैविक (या पारिस्थितिकीय अथवा जैवमण्डलीय) प्रक्रिया है, पृथ्वी के वायुमण्डल के गठन को प्रभावित करने वाली महत्वपूर्ण प्रक्रिया रही है। इस प्रकार के चिंतन से जुड़ी विचारधारा पूरी पृथ्वी को एक इकाई गाया[9] या सजीव पृथ्वी (living earth) के रूप में देखती है।[10]
इसी प्रकार मनुष्य के ऊपर पर्यवारण के प्रभाव और मनुष्य द्वारा पर्यावरण पर डाले गये प्रभावों का अध्ययन मानव पारिस्थितिकी और मानव भूगोल का प्रमुख अध्ययन बिंदु है।[11][12][13]"
6,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,पर्यावरणीय समस्याएँ[संपादित करें],"मुख्य लेख: पर्यावरणीय अवनयन
* यह भी देखें: प्रदूषण और जलवायु परिवर्तन
ज्यादातर पर्यावरणीय समस्याएँ पर्यावरणीय अवनयन और मानव जनसंख्या और मानव द्वारा संसाधनों के उपभोग में वृद्धि से जुड़ी हैं। पर्यावरणीय अवनयन के अंतर्गत पर्यावरण में होने वाले वे सारे परिवर्तन आते हैं जो अवांछनीय हैं[14] और किसी क्षेत्र विशेष में या पूरी पृथ्वी पर जीवन और संधारणीयता को खतरा उत्पन्न करते हैं। अतः इसके अंतर्गत प्रदूषण, जलवायु परिवर्तन, जैव विविधता का क्षरण और अन्य प्राकृतिक आपदाएं इत्यादि शामिल की जाती हैं। पर्यावरणीय अवनयन के साथ मिलकर जनसंख्या में चरघातांकी दर से हो रही वृद्धि तथा मानव द्वारा उपभोग के बदलते प्रतिरूप लगभग सारी पर्यावरणीय समस्याओं के मूल कारण हैं।
संसाधन न्यूनीकरण[संपादित करें]
संसाधन न्यूनीकरण का अर्थ है प्राकृतिक संसाधनों का मनुष्य द्वारा अपने आर्थिक लाभ हेतु इतनी तेजी से दोहन कि उनका प्राकृतिक प्रक्रियाओं द्वारा पुनर्भरण (replenishment) न हो पाए। वर्तमान परिप्रेक्ष्य में संसाधन क्षरण के लिये जनसंख्या के दबाव, तेज वृद्धि दर और लोगों के उपभोग प्रतिरूप का भी प्रभाव जिम्मेवार माना जा रहा है।[15][16]
संसाधनों को दो वर्गों में विभक्त किया जाता है - [नवीकरणीय संसाधन] और अनवीकरणीय संसाधन। इसके आलावा कुछ संसाधन इतनी पर्याप्त मात्रा में उपलब्ध हैं कि उनका क्षय नहीं हो सकता उन्हें अक्षय संसाधन कहते हैं जैसे सौर ऊर्जा।
अनवीकरणीय संसाधनों का तेजी से दोहन उनके भण्डार को समाप्त कर मानव जीवन के लिये कठिन परिस्थितियां पैदा कर सकता है। कोयला, पेट्रोलियम, या धत्वित्क खनिजों के भण्डारों का निर्माण एक दीर्घ अवधि की घटना है और जिस तेजी से मनुष्य इन का दोहन कर रहा है ये एक न एक दिन समाप्त हो जायेंगे। वहीं दूसरी ओर कुछ नवीकरणीय संसाधन भी मनुष्य द्वारा इतनी तेजी से प्रयोग में लाये जा रहे हैं कि उनका प्राकृतिक प्रक्रियाओं द्वारा पुनर्भरण उतनी तेजी से संभव नहीं और इस प्रकार वे भी अनवीकरणीय संसाधन की श्रेणी में आ जायेंगे।
प्रदूषण[संपादित करें]
प्रदूषण अथवा पर्यावरणीय प्रदूषण पर्यावरण में किसी पदार्थ (ठोस, द्रव या गैस) अथवा ऊर्जा (ऊष्मा, ध्वनि, रेडियोधर्मिता इत्यादि) के प्रवेश को कहते हैं यदि इसकी गति इतनी तेज हो कि सामान्य और प्राकृतिक प्रक्रियाओं द्वारा इसका परिक्षेपण, मंदन, वियोजन, पुनर्चक्रण अथवा अहानिकारक रूप में संरक्षण न हो सके।[17]
इस प्रकार प्रदूषण के दो स्पष्ट सूचक हैं, किसी पदार्थ या ऊर्जा का पर्यावरण में प्रवेश और उसका प्राकृतिक पर्यावरण के प्रति हानिकारक या अवांछित होना। इस तरह के अवांछित तत्व को प्रदूषक या दूषक कहते हैं।
प्रदूषण का वर्गीकरण प्रदूषक के प्रकार, स्रोत अथवा पारितंत्र के जिस हिस्से में उसका प्रवेश होता है, के आधार पर किया जाता है। उदाहरण के तौर पर वायु प्रदूषण, जल प्रदूषण, मृदा प्रदूषण, इत्यादि प्रकार इस आधार पर निश्चित किये जाते हैं कि पारितंत्र के इस हिस्से में दूषक तत्व का प्रवेश होता है। वहीं दूसरी ओर रेडियोधर्मी प्रदूषण, प्रकाश प्रदूषण, ध्वनि या रव प्रदूषण इत्यादि प्रकार प्रदूषक के स्वयं के प्रकार पर आधारित वर्गीकरण हैं।
जलवायु परिवर्तन[संपादित करें]
हमारे जीवन मे हमने बहुत सारे परिवर्तन देखे है जल वायु परिवर्तन उन्ही मे से एक है जल वायु परिवर्तन के कारण ही पृथ्वी पर मौसम परिवर्तन होता है मौसम से हमे बहुत लाभ होता है मौसम के बिना कोई फसल नही उगाई जा सकती एवं ना ही  मनुष्य जीवन को एक मौसम मे  गुजार सकता है समस्त जीव धारी को  मौसम की जरूरत होती है जलवायु परिवर्तन से हमे लाभ भी है तो नुकसान भी है
जैवविविधता ह्रास[संपादित करें]
पृथ्वी पर उपस्थित विभिन्न प्रकार के पारितंत्र में उपस्थित जीवों व वनस्पतियों के प्रजातियों के प्रकार में कमी को जैवविविधता हृास कहते हैं।
प्राकृतिक आपदाएँ[संपादित करें]
इनमें चक्रवात, तेज तूफान, भूकंप, ज्वालामुखी का फटना, सुनामी, अत्यधिक बारिश, सूखा आदि शामिल है।"
7,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,पर्यावरण संरक्षण[संपादित करें],"मुख्य लेख: पर्यावरण संरक्षण
विज्ञान के क्षेत्र में असीमित प्रगति तथा नये आविष्कारों की स्पर्धा के कारण आज का मानव प्रकृति पर पूर्णतया विजय प्राप्त करना चाहता है। इस कारण प्रकृति का संतुलन बिगड़ गया है। वैज्ञानिक उपलब्धियों से मानव प्राकृतिक संतुलन को उपेक्षा की दृष्टि से देख रहा है। दूसरी ओर धरती पर जनसंख्या की निरंतर वृद्धि , औद्योगीकरण एवं शहरीकरण की तीव्र गति से जहाँ प्रकृति के हरे भरे क्षेत्रों को समाप्त किया जा रहा है|
पर्यावरण संरक्षण का महत्त्वसंपादित करें
पर्यावरण संरक्षण का समस्त प्राणियों के जीवन तथा इस धरती के समस्त प्राकृतिक परिवेश से घनिष्ठ सम्बन्ध है। प्रदूषण के कारण सारी पृथ्वी दूषित हो रही है और निकट भविष्य में मानव सभ्यता का अंत दिखाई दे रहा है। इस स्थिति को ध्यान में रखकर सन् 1992 में ब्राजील में विश्व के 174 देशों का 'पृथ्वी सम्मेलन' आयोजित किया गया।
इसके पश्चात सन् 2002 में जोहान्सबर्ग में पृथ्वी सम्मेलन आयोजित कर विश्व के सभी देशों को पर्यावरण संरक्षण पर ध्यान देने के लिए अनेक उपाय सुझाए गये। वस्तुतः पर्यावरण के संरक्षण से ही धरती पर जीवन का संरक्षण हो सकता है, अन्यथा मंगल ग्रह आदि ग्रहों की तरह धरती का जीवन-चक्र भी समाप्त हो जायेगा।"
8,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,पर्यावरण प्रबंधन[संपादित करें],"मुख्य लेख: पर्यावरण प्रबंधन
पर्यावरण प्रबंधन का तात्पर्य पर्यावरण के प्रबंधन से नहीं है, बल्कि आधुनिक मानव समाज के पर्यावरण के साथ संपर्क तथा उस पर पड़ने वाले प्रभाव के प्रबंधन से है। प्रबंधकों को प्रभावित करने वाले तीन प्रमुख मुद्दे हैं राजनीति (नेटवर्किंग), कार्यक्रम (परियोजनायें) और संसाधन (धन, सुविधाएँ, आदि)। पर्यावरण प्रबंधन की आवश्यकता को कई दृष्टिकोणों से देखा जा सकता है।"
9,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,भारतीय संस्कृति में पर्यावरण चिंतन[संपादित करें],"भारतीय संस्कृति में पर्यावरण को विशेष महत्त्व दिया गया है। प्राचीन काल से ही भारतीय संस्कृति में पर्यावरण के अनेक घटकों जैसे वृक्षों को पूज्य मानकर उन्हें पूजा जाता है। पीपल के वृक्ष को पवित्र माना जाता है। वट के वृक्ष की भी पूजा होती है। जल, वायु, अग्नि को भी देव मानकर उनकी पूजा की जाती है। समुद्र, नदी को भी पूजन करने योग्य माना गया है। गंगा, सिंधु, सरस्वती, यमुना, गोदावरी, नर्मदा जैसी नदीयों को पवित्र मानकर पूजा की जाती है। धरती को भी माता का दर्जा दिया गया है। प्राचीन काल से ही भारत में पर्यावरण के विविध स्वरुपों की पूजा होती है।[18][19][20]"
10,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B5%E0%A4%B0%E0%A4%A3,पर्यावरण के प्रकार[संपादित करें],"पर्यावरण को हम दो भागों में बांट सकते है-
1-भौतिक पर्यावरण और 2-अभौतिक पर्यावरण
भौतिक पर्यावरण[संपादित करें]
भौतिक पर्यावरण वह है जो हमारे चारो ओर हमारी आंखों के सामने विद्यमान है। जिसे हम अपने हांथो से छूकर देख सकते है, इसका आभास भी कर सकते है। ये आवरण बहुत सुंदर दृश्य के रुप में हमारी आंखों के सामने रहता है। कही पर इसकी सुंदरता बहुत हो मनमोहक होती है। जिसे आज के समय में पर्यटन स्थल के रूप में निहित किया गया है।
प्राचीन समय मे भौतिक पर्यावरण के प्रति लोग बहुत ही अभिरुचि रखते थे। और इसे सजाने के लिए नित्य तत्पर रहते थे ।
परंतु वर्तमान समय मे इसका विपरीत है लोग इसे मिटाने की और दिन प्रतिदिन तत्पर होते जा रहे है। और इसका खूब दोहन कर रहे सुंदर बनो को उजाड़ कर वहाँ पर बड़े बड़े मैदान निकलने में लगे है, बड़ी बड़ी चट्टानों को मिटाकर वहां पर रास्ते निकालने में लगे है। इसकी रक्षा करना हमारा कर्तव्य है।
अभौतिक पर्यावरण[संपादित करें]
अभौतिक पर्यावरण वह है जो कि हमे प्रत्यक्ष दिखाई नही देता जिसका सिर्फ आभास कर सकते है। यह भी हमारे चारों ओर व्याप्त है। यह हमें सिर्फ रीति रिवाज, धर्म, आस्था, विश्वास इत्यादि में दिखाई देता है।
इसका भी पतन आजकल के समय मे देखने मे मिलता है पुराने समय मे जो रीति रिवाज हमारे पूर्वजो ने बनाये थे, जो आस्था भाव का निर्माण किया गया था आज उसका पतन होता जा रहा है। लोग रीति रिवाजों का उलंघन करने के लिए अग्रणी होते जा रहे है। उदाहरण के लिए पहले शादी विवाहों में एक विशेष रीति रिवाज का प्रचलन था शादी होने से पहले वर को बधू का मुख देखना अशुभ माना जाता था, मगर आज के समय मे जब तक लड़का/लड़की अपने स्वेच्छा से ही शादी करते है और एक दूसरे को आपस मे देखे बगैर शादी तय नही होती है।
यह सही की पुराने रिवाजो में शोध करना आवश्यक है परंतु इसका उलंघन करना कदाचित उचित नही है।"
